Date,Open,High,Low,Close,Volume,Adj Close
2015-12-8,2.581,2.581,2.581,2.581,9999999,2.581
2015-12-7,2.622,2.622,2.622,2.622,9999999,2.622
2015-12-4,2.594,2.594,2.594,2.594,9999999,2.594
2015-12-3,2.617,2.617,2.617,2.617,9999999,2.617
2015-12-2,2.553,2.553,2.553,2.553,9999999,2.553
2015-12-1,2.569,2.569,2.569,2.569,9999999,2.569
2015-11-30,2.584,2.584,2.584,2.584,9999999,2.584
2015-11-27,2.612,2.612,2.612,2.612,9999999,2.612
2015-11-26,2.768,2.768,2.768,2.768,9999999,2.768
2015-11-25,2.783,2.783,2.783,2.783,9999999,2.783
2015-11-24,2.76,2.76,2.76,2.76,9999999,2.76
2015-11-23,2.761,2.761,2.761,2.761,9999999,2.761
2015-11-20,2.788,2.788,2.788,2.788,9999999,2.788
2015-11-19,2.737,2.737,2.737,2.737,9999999,2.737
2015-11-18,2.652,2.652,2.652,2.652,9999999,2.652
2015-11-17,2.666,2.666,2.666,2.666,9999999,2.666
2015-11-16,2.664,2.664,2.664,2.664,9999999,2.664
2015-11-13,2.637,2.637,2.637,2.637,9999999,2.637
2015-11-12,2.706,2.706,2.706,2.706,9999999,2.706
2015-11-11,2.685,2.685,2.685,2.685,9999999,2.685
2015-11-10,2.632,2.632,2.632,2.632,9999999,2.632
2015-11-9,2.634,2.634,2.634,2.634,9999999,2.634
2015-11-6,2.585,2.585,2.585,2.585,9999999,2.585
2015-11-5,2.515,2.515,2.515,2.515,9999999,2.515
2015-11-4,2.527,2.527,2.527,2.527,9999999,2.527
2015-11-3,2.425,2.425,2.425,2.425,9999999,2.425
2015-11-2,2.441,2.441,2.441,2.441,9999999,2.441
2015-10-30,2.507,2.507,2.507,2.507,9999999,2.507
2015-10-29,2.517,2.517,2.517,2.517,9999999,2.517
2015-10-28,2.485,2.485,2.485,2.485,9999999,2.485
2015-10-27,2.567,2.567,2.567,2.567,9999999,2.567
2015-10-26,2.496,2.496,2.496,2.496,9999999,2.496
2015-10-23,2.461,2.461,2.461,2.461,9999999,2.461
2015-10-22,2.394,2.394,2.394,2.394,9999999,2.394
2015-10-21,2.306,2.306,2.306,2.306,9999999,2.306
2015-10-20,2.392,2.392,2.392,2.392,9999999,2.392
2015-10-19,2.345,2.345,2.345,2.345,9999999,2.345
2015-10-16,2.367,2.367,2.367,2.367,9999999,2.367
2015-10-15,2.335,2.335,2.335,2.335,9999999,2.335
2015-10-14,2.273,2.273,2.273,2.273,9999999,2.273
2015-10-13,2.296,2.296,2.296,2.296,9999999,2.296
2015-10-12,2.247,2.247,2.247,2.247,9999999,2.247
2015-10-9,2.189,2.189,2.189,2.189,9999999,2.189
2015-10-8,2.14,2.14,2.14,2.14,9999999,2.14
2015-09-30,2.059,2.059,2.059,2.059,9999999,2.059
2015-09-29,2.023,2.023,2.023,2.023,9999999,2.023
2015-09-28,2.049,2.049,2.049,2.049,9999999,2.049
2015-09-25,2.033,2.033,2.033,2.033,9999999,2.033
2015-09-24,2.108,2.108,2.108,2.108,9999999,2.108
2015-09-23,2.122,2.122,2.122,2.122,9999999,2.122
2015-09-22,2.126,2.126,2.126,2.126,9999999,2.126
2015-09-21,2.118,2.118,2.118,2.118,9999999,2.118
2015-09-18,2.007,2.007,2.007,2.007,9999999,2.007
2015-09-17,1.954,1.954,1.954,1.954,9999999,1.954
2015-09-16,1.992,1.992,1.992,1.992,9999999,1.992
2015-09-15,1.871,1.871,1.871,1.871,9999999,1.871
2015-09-14,1.996,1.996,1.996,1.996,9999999,1.996
2015-09-11,2.139,2.139,2.139,2.139,9999999,2.139
2015-09-10,2.134,2.134,2.134,2.134,9999999,2.134
2015-09-9,2.141,2.141,2.141,2.141,9999999,2.141
2015-09-8,2.064,2.064,2.064,2.064,9999999,2.064
2015-09-7,1.996,1.996,1.996,1.996,9999999,1.996
2015-09-2,2.009,2.009,2.009,2.009,9999999,2.009
2015-09-1,2.074,2.074,2.074,2.074,9999999,2.074
2015-08-31,2.202,2.202,2.202,2.202,9999999,2.202
2015-08-28,2.254,2.254,2.254,2.254,9999999,2.254
2015-08-27,2.133,2.133,2.133,2.133,9999999,2.133
2015-08-26,2.09,2.09,2.09,2.09,9999999,2.09
2015-08-25,2.186,2.186,2.186,2.186,9999999,2.186
2015-08-24,2.347,2.347,2.347,2.347,9999999,2.347
2015-08-21,2.522,2.522,2.522,2.522,9999999,2.522
2015-08-20,2.629,2.629,2.629,2.629,9999999,2.629
2015-08-19,2.749,2.749,2.749,2.749,9999999,2.749
2015-08-18,2.691,2.691,2.691,2.691,9999999,2.691
2015-08-17,2.897,2.897,2.897,2.897,9999999,2.897
2015-08-14,2.871,2.871,2.871,2.871,9999999,2.871
2015-08-13,2.852,2.852,2.852,2.852,9999999,2.852
2015-08-12,2.805,2.805,2.805,2.805,9999999,2.805
2015-08-11,2.853,2.853,2.853,2.853,9999999,2.853
2015-08-10,2.811,2.811,2.811,2.811,9999999,2.811
2015-08-7,2.672,2.672,2.672,2.672,9999999,2.672
2015-08-6,2.611,2.611,2.611,2.611,9999999,2.611
2015-08-5,2.627,2.627,2.627,2.627,9999999,2.627
2015-08-4,2.673,2.673,2.673,2.673,9999999,2.673
2015-08-3,2.549,2.549,2.549,2.549,9999999,2.549
2015-07-31,2.63,2.63,2.63,2.63,9999999,2.63
2015-07-30,2.677,2.677,2.677,2.677,9999999,2.677
2015-07-29,2.66,2.66,2.66,2.66,9999999,2.66
2015-07-28,2.55,2.55,2.55,2.55,9999999,2.55
2015-07-27,2.665,2.665,2.665,2.665,9999999,2.665
2015-07-24,2.87,2.87,2.87,2.87,9999999,2.87
2015-07-23,2.874,2.874,2.874,2.874,9999999,2.874
