Date,Open,High,Low,Close,Volume,Adj Close
2015-12-04,8.00,8.03,7.85,7.86,38487200,7.86
2015-12-03,8.00,8.09,7.97,8.06,43134900,8.06
2015-12-02,7.87,8.06,7.79,8.05,45980100,8.05
2015-12-01,7.80,7.94,7.77,7.87,34303700,7.87
2015-11-30,7.68,7.95,7.59,7.86,49812700,7.86
2015-11-27,8.48,8.55,7.70,7.81,73754000,7.81
2015-11-26,8.62,8.66,8.48,8.53,49392600,8.53
2015-11-25,8.49,8.67,8.43,8.60,46086800,8.60
2015-11-24,8.50,8.50,8.33,8.49,44537000,8.49
2015-11-23,8.59,8.64,8.47,8.50,48964500,8.50
2015-11-20,8.63,8.66,8.53,8.61,55173500,8.61
2015-11-19,8.56,8.67,8.51,8.63,42671800,8.63
2015-11-18,8.68,8.72,8.51,8.52,51228500,8.52
2015-11-17,8.85,8.90,8.58,8.61,87103700,8.61
2015-11-16,8.58,8.75,8.50,8.74,74476500,8.74
2015-11-13,8.89,9.37,8.75,8.83,166702200,8.83
2015-11-12,8.63,9.08,8.55,8.94,158098300,8.94
2015-11-11,8.60,8.63,8.51,8.60,65125600,8.60
2015-11-10,8.60,8.70,8.46,8.58,86092000,8.58
2015-11-09,8.60,8.88,8.53,8.72,127499900,8.72
2015-11-06,8.54,8.75,8.47,8.63,116771500,8.63
2015-11-05,8.80,8.85,8.51,8.55,239359200,8.55
2015-11-04,7.95,8.42,7.90,8.42,89336700,8.42
2015-11-03,7.69,7.73,7.56,7.65,28127500,7.65
2015-11-02,7.64,7.84,7.62,7.67,35510000,7.67
2015-10-30,7.75,7.83,7.59,7.74,37841300,7.74
2015-10-29,7.82,7.86,7.69,7.77,47210500,7.77
2015-10-28,7.79,7.87,7.65,7.69,45424300,7.69
2015-10-27,7.88,7.92,7.53,7.82,50949800,7.82
2015-10-26,8.02,8.05,7.87,7.92,64314100,7.92
2015-10-23,7.89,7.93,7.71,7.89,66647400,7.89
2015-10-22,7.64,7.84,7.54,7.81,58374300,7.81
2015-10-21,8.24,8.33,7.59,7.64,92271900,7.64
2015-10-20,8.12,8.23,8.03,8.22,67212800,8.22
2015-10-19,8.19,8.31,8.01,8.13,88825800,8.13
2015-10-16,8.11,8.14,7.98,8.11,82117200,8.11
2015-10-15,7.75,8.05,7.72,8.01,69283000,8.01
2015-10-14,7.95,8.01,7.77,7.79,52762000,7.79
2015-10-13,7.85,8.05,7.81,7.96,66850600,7.96
2015-10-12,7.63,8.07,7.60,7.91,74365200,7.91
2015-10-09,7.50,7.63,7.50,7.57,39356600,7.57
2015-10-08,7.54,7.69,7.45,7.54,54965900,7.54
2015-09-30,7.25,7.39,7.20,7.25,29061400,7.25
2015-09-29,7.22,7.28,7.10,7.18,31786100,7.18
2015-09-28,7.30,7.45,7.30,7.39,21682600,7.39
2015-09-25,7.56,7.64,7.21,7.28,44092900,7.28
2015-09-24,7.60,7.69,7.48,7.64,40686200,7.64
2015-09-23,7.70,7.77,7.49,7.50,48592900,7.50
2015-09-22,7.83,7.96,7.76,7.81,55153200,7.81
2015-09-21,7.47,7.85,7.41,7.80,53816400,7.80
2015-09-18,7.64,7.76,7.39,7.59,69776300,7.59
2015-09-17,7.79,8.07,7.48,7.51,94352800,7.51
2015-09-16,7.19,7.85,7.12,7.73,71323700,7.73
2015-09-15,7.42,7.60,7.03,7.14,58217700,7.14
2015-09-14,8.15,8.18,7.22,7.68,101927600,7.68
2015-09-11,8.03,8.21,7.94,8.02,54127200,8.02
2015-09-10,8.06,8.37,8.00,8.08,85703300,8.08
2015-09-09,8.16,8.41,8.07,8.24,126782400,8.24
2015-09-08,7.60,8.20,7.60,8.17,89995900,8.17
2015-09-07,8.37,8.78,7.73,7.80,181971900,7.80
2015-09-02,7.55,8.66,7.50,8.41,238036300,8.41
2015-09-01,7.60,8.07,7.28,7.93,212356400,7.93
2015-08-31,7.68,7.83,7.22,7.79,149973700,7.79
2015-08-28,7.31,7.78,7.21,7.74,162502000,7.74
2015-08-27,7.06,7.20,6.53,7.20,137159300,7.20
2015-08-26,7.44,7.67,6.69,6.76,179001200,6.76
2015-08-25,7.41,7.78,7.37,7.37,156453500,7.37
2015-08-24,8.58,8.75,8.19,8.19,144456800,8.19
2015-08-21,9.50,9.80,8.88,9.10,198903300,9.10
2015-08-20,9.24,10.20,9.01,9.55,230189800,9.55
